k,f,name,E_semi,T_semi,obj_semi,E_active,T_active,obj_active,dE,dT,dObj
1,5,"Instance_100_10_3_0,4_1_20_Rep2",0,60086,60086,0,55213,55213,0,-4873,-4873
1,5,"Instance_100_10_3_0,4_1_20_Rep3",8,63821,63829,2510,63851,66361,2502,30,2532
1,5,"Instance_100_10_3_0,4_1_20_Rep4",0,60218,60218,3258,69053,72311,3258,8835,12093
1,5,"Instance_100_10_3_0,6_0,2_10_Rep0",31,262667,262698,2949,269291,272240,2918,6624,9542
1,5,"Instance_100_10_3_0,6_0,2_10_Rep1",644,234543,235187,4335,239617,243952,3691,5074,8765
1,5,"Instance_100_10_3_0,6_0,2_10_Rep2",120,231961,232081,2664,229060,231724,2544,-2901,-357
1,5,"Instance_100_10_3_0,6_0,2_10_Rep3",227,224953,225180,3147,226596,229743,2920,1643,4563
1,5,"Instance_100_10_3_0,6_0,2_10_Rep4",0,221576,221576,2732,222374,225106,2732,798,3530
1,5,"Instance_100_10_3_0,6_0,2_20_Rep0",0,232319,232319,1375,228693,230068,1375,-3626,-2251
1,5,"Instance_100_10_3_0,6_0,2_20_Rep1",0,223648,223648,632,225264,225896,632,1616,2248
1,5,"Instance_100_10_3_0,6_0,2_20_Rep2",0,215085,215085,4303,203840,208143,4303,-11245,-6942
1,5,"Instance_100_10_3_0,6_0,2_20_Rep3",0,223717,223717,1559,223988,225547,1559,271,1830
1,5,"Instance_100_10_3_0,6_0,2_20_Rep4",0,234816,234816,1341,231904,233245,1341,-2912,-1571
1,5,"Instance_100_10_3_0,6_0,6_10_Rep0",0,275251,275251,248,258305,258553,248,-16946,-16698
1,5,"Instance_100_10_3_0,6_0,6_10_Rep1",0,257850,257850,4738,270504,275242,4738,12654,17392
1,5,"Instance_100_10_3_0,6_0,6_10_Rep2",0,238871,238871,858,234226,235084,858,-4645,-3787
1,5,"Instance_100_10_3_0,6_0,6_10_Rep3",0,275091,275091,807,284349,285156,807,9258,10065
1,5,"Instance_100_10_3_0,6_0,6_10_Rep4",0,256086,256086,735,256272,257007,735,186,921
1,5,"Instance_100_10_3_0,6_0,6_20_Rep0",0,249667,249667,3314,245190,248504,3314,-4477,-1163
1,5,"Instance_100_10_3_0,6_0,6_20_Rep1",33,176855,176888,1711,175141,176852,1678,-1714,-36
1,5,"Instance_100_10_3_0,6_0,6_20_Rep2",0,212280,212280,3172,211950,215122,3172,-330,2842
1,5,"Instance_100_10_3_0,6_0,6_20_Rep3",30,278629,278659,2828,265311,268139,2798,-13318,-10520
1,5,"Instance_100_10_3_0,6_0,6_20_Rep4",0,241298,241298,22,236476,236498,22,-4822,-4800
1,5,"Instance_100_10_3_0,6_1_10_Rep0",0,219970,219970,6898,217977,224875,6898,-1993,4905
1,5,"Instance_100_10_3_0,6_1_10_Rep1",8,329721,329729,1485,327675,329160,1477,-2046,-569
1,5,"Instance_100_10_3_0,6_1_10_Rep2",0,251198,251198,78,251360,251438,78,162,240
1,5,"Instance_100_10_3_0,6_1_10_Rep3",60,278499,278559,160,251606,251766,100,-26893,-26793
1,5,"Instance_100_10_3_0,6_1_10_Rep4",692,295965,296657,96,296052,296148,-596,87,-509
1,5,"Instance_100_10_3_0,6_1_20_Rep0",0,140140,140140,132,140996,141128,132,856,988
1,5,"Instance_100_10_3_0,6_1_20_Rep1",108,186586,186694,1089,184865,185954,981,-1721,-740
1,5,"Instance_100_10_3_0,6_1_20_Rep2",95,184570,184665,4519,177926,182445,4424,-6644,-2220
1,5,"Instance_100_10_3_0,6_1_20_Rep3",734,221578,222312,793,205692,206485,59,-15886,-15827
1,5,"Instance_100_10_3_0,6_1_20_Rep4",328,247211,247539,84,239848,239932,-244,-7363,-7607
1,5,"Instance_100_10_5_0,2_0,2_10_Rep0",2555,30207,32762,11096,32246,43342,8541,2039,10580
1,5,"Instance_100_10_5_0,2_0,2_10_Rep1",6109,23718,29827,25542,23280,48822,19433,-438,18995
1,5,"Instance_100_10_5_0,2_0,2_10_Rep2",13283,16441,29724,17691,19016,36707,4408,2575,6983
1,5,"Instance_100_10_5_0,2_0,2_10_Rep3",7532,22313,29845,14738,21926,36664,7206,-387,6819
1,5,"Instance_100_10_5_0,2_0,2_10_Rep4",10588,19205,29793,20463,17715,38178,9875,-1490,8385
1,5,"Instance_100_10_5_0,2_0,2_20_Rep0",2547,9527,12074,26810,8852,35662,24263,-675,23588
1,5,"Instance_100_10_5_0,2_0,2_20_Rep1",2404,20243,22647,3862,19418,23280,1458,-825,633
1,5,"Instance_100_10_5_0,2_0,2_20_Rep2",2430,16303,18733,11740,15328,27068,9310,-975,8335
1,5,"Instance_100_10_5_0,2_0,2_20_Rep3",3629,19153,22782,12571,17726,30297,8942,-1427,7515
1,5,"Instance_100_10_5_0,2_0,2_20_Rep4",3853,23184,27037,11274,23894,35168,7421,710,8131
1,5,"Instance_100_10_5_0,2_0,6_10_Rep0",0,5380,5380,2032,17779,19811,2032,12399,14431
1,5,"Instance_100_10_5_0,2_0,6_10_Rep1",75,5563,5638,2744,6958,9702,2669,1395,4064
1,5,"Instance_100_10_5_0,2_0,6_10_Rep2",6,5858,5864,4534,7804,12338,4528,1946,6474
1,5,"Instance_100_10_5_0,2_0,6_10_Rep3",76,7810,7886,6910,7075,13985,6834,-735,6099
1,5,"Instance_100_10_5_0,2_0,6_10_Rep4",149,9177,9326,12116,9544,21660,11967,367,12334
1,5,"Instance_100_10_5_0,2_0,6_20_Rep0",0,0,0,1214,343,1557,1214,343,1557
1,5,"Instance_100_10_5_0,2_0,6_20_Rep1",0,833,833,1171,4532,5703,1171,3699,4870
1,5,"Instance_100_10_5_0,2_0,6_20_Rep2",0,0,0,1180,136,1316,1180,136,1316
1,5,"Instance_100_10_5_0,2_0,6_20_Rep3",0,1626,1626,5641,3655,9296,5641,2029,7670
1,5,"Instance_100_10_5_0,2_0,6_20_Rep4",0,246,246,2263,1354,3617,2263,1108,3371
1,5,"Instance_100_10_5_0,2_1_10_Rep0",0,8975,8975,18,11117,11135,18,2142,2160
1,5,"Instance_100_10_5_0,2_1_10_Rep1",0,4414,4414,1466,5893,7359,1466,1479,2945
1,5,"Instance_100_10_5_0,2_1_10_Rep2",0,5222,5222,632,6276,6908,632,1054,1686
1,5,"Instance_100_10_5_0,2_1_10_Rep3",0,4123,4123,467,4805,5272,467,682,1149
1,5,"Instance_100_10_5_0,2_1_10_Rep4",0,21468,21468,4534,14999,19533,4534,-6469,-1935
1,5,"Instance_100_10_5_0,2_1_20_Rep0",0,651,651,10,901,911,10,250,260
1,5,"Instance_100_10_5_0,2_1_20_Rep1",0,15202,15202,4472,19823,24295,4472,4621,9093
1,5,"Instance_100_10_5_0,2_1_20_Rep2",0,260,260,58,371,429,58,111,169
1,5,"Instance_100_10_5_0,2_1_20_Rep3",0,8331,8331,357,7486,7843,357,-845,-488
